project_name,street_address,city,state,zip_code,first_mention_date,last_mention_date,project_description,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source,ZIP+4 Range Start,ZIP+4 Range End (or blank if no range),ZIP 9 Range Start,ZIP 9 Range End (or blank if no range),Record Type Code,Record Type Description,Residential Indicator,Carrier Route ID,Carrier Route Description,Building or Firm Name,Government Building Code,Government Building Description,Facility Code,Facility Description,City Delivery?,Valid delivery area?,Exact Match?
1221 Windermere Avenue,1221 Windermere Avenue,Menlo Park,CA,,"July 14, 2025","July 14, 2025","""Use permit item that was continued to the August 11th meeting.""",37.475121,-122.159251,1,rooftop,1221 Windermere Ave,,"Menlo Park, CA 94025",1221,Windermere Ave,,,Menlo Park,CA,San Mateo County,94025,US,San Mateo (Public Domain),1315,,94025-1315,,S,Street,Residential,C029,City Delivery,,,,P,Post Office,Yes,Yes,Yes
"1211, 1231 Arbor Road & 1100 Santa Cruz Avenue (Fences/Gates)",1211 Arbor Road; 1231 Arbor Road; 1100 Santa Cruz Avenue,Menlo Park,CA,,"July 14, 2025","July 14, 2025","""Use permit to construct 6-foot tall metal fences or gates. It also includes the installation of a 'No left turn' sign on Santa Cruz Avenue during morning traffic. The business is a private recreational facility. Applicant representatives: Denise Sanders, Mark Morino.""",37.447321,-122.189872,1,rooftop,1211 Arbor Rd,,"Menlo Park, CA 94025",1211,Arbor Rd,,,Menlo Park,CA,San Mateo County,94025,US,San Mateo (Public Domain),4403,,94025-4403,,S,Street,Residential,C021,City Delivery,St Raymonds School,,,P,Post Office,Yes,Yes,Yes
805 Harvard Avenue,805 Harvard Avenue,Menlo Park,CA,,"June 9, 2025","June 9, 2025","""Use permit and variance to demolish an existing single-story, single-family residence with a partial basement, and construct a new two-story, single-family residence with a basement on a substandard lot (area and depth) in the R-1-U zoning district. Includes a variance to locate the garage entrance 16 feet from the street side lot line (instead of 20 feet) and an attached accessory dwelling unit (ADU). Applicant: Chris Coomer (Cka. Architects). Property owner: Nate Voorhees.""",37.445491,-122.174854,1,rooftop,805 Harvard Ave,,"Menlo Park, CA 94025",805,Harvard Ave,,,Menlo Park,CA,San Mateo County,94025,US,San Mateo (Public Domain),5324,,94025-5324,,S,Street,Residential,C002,City Delivery,,,,P,Post Office,Yes,Yes,Yes
670 Cambridge Avenue,670 Cambridge Avenue,Menlo Park,CA,,"March 10, 2025","March 10, 2025","""Use permit to demolish an existing single-story, two-unit multifamily residence and accessory building and construct a new two-story, single-family residence and detached garage on a substandard lot with regard to minimum lot width. The proposal includes an attached ADU. Applicant: Thomas James Homes (Gagan King). Architect: Dave Pocket.""",37.447377,-122.1753,1,rooftop,670 Cambridge Ave,,"Menlo Park, CA 94025",670,Cambridge Ave,,,Menlo Park,CA,San Mateo County,94025,US,San Mateo (Public Domain),5302,,94025-5302,,S,Street,Residential,C002,City Delivery,,,,P,Post Office,Yes,Yes,Yes
312 O’Keeffe Street,312 O’Keeffe Street,Menlo Park,CA,,"March 24, 2025","March 24, 2025","""Use permit for a proposed 3,600 square foot residence with an attached ADU on a corner property, located in a 100-year flood zone. The finished floor would be 30.5 feet, a foot above the base flood elevation. The converted garage ADU was approved with permits in 2018. Property owners: Rohit and Shruti. Architects: Team Subhendu and Roy.""",37.463666,-122.154991,1,rooftop,312 O'keefe St,,"Menlo Park, CA 94025",312,O'keefe St,,,Menlo Park,CA,San Mateo County,94025,US,San Mateo (Public Domain),,,,,,,,,,,,,,,,,
Elegen Hazardous Materials Use Permit,,Menlo Park,CA,,"March 24, 2025","March 24, 2025","""Use permit for the use and storage of hazardous materials associated with a research and development business in the M-2 (General Industrial) zoning district. The action is categorically exempt under CEQA Guidelines Section 15301’s Class 1 exemption for existing facilities. The chemicals submitted on the plan are scoped for about 5 years out, when the building would be at max capacity. Applicant: Elegen (Minyong Chung, Vice President of Operations).""",37.439616,-122.186373,1,place,,,"Menlo Park, CA 94025",,,,,Menlo Park,CA,San Mateo County,94025,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,,,,,,,,,
519 Central Avenue,519 Central Avenue,Menlo Park,CA,,"May 19, 2025","May 19, 2025","""Use permit to demolish an existing single-story, single-family residence and construct a new two-story, single-family residence on a substandard lot with regard to minimum lot width and area in the R-1-U zoning district. The proposal includes an attached accessory dwelling unit (ADU) and street tree removal. Neighbor Stephanie Zeller (518 Central) sent an email outlining remaining issues. Project planner: Fahteen Khan.""",37.461171,-122.153699,1,rooftop,519 Central Ave,,"Menlo Park, CA 94025",519,Central Ave,,,Menlo Park,CA,San Mateo County,94025,US,San Mateo (Public Domain),2806,,94025-2806,,S,Street,Residential,C085,City Delivery,,,,P,Post Office,Yes,Yes,Yes
Meta Platforms Inc. Development Agreement Review,1005 to 1275 Hamilton Court,Menlo Park,CA,,"May 19, 2025","May 19, 2025","""Annual review of development agreements for Meta's East Campus, West Campus, and Meta Campus Expansion projects to determine good faith compliance for the 2024 annual review period. The review does not qualify as a project under CEQA. The project involves a first-of-its-kind recycled water system. Solon Stewart-Rose is on the Meta team. Juan Salazar is also representing Meta.""",37.47958,-122.148148,1,rooftop,1005 Hamilton Ct,,"Menlo Park, CA 94025",1005,Hamilton Ct,,,Menlo Park,CA,San Mateo County,94025,US,San Mateo (Public Domain),1422,,94025-1422,,S,Street,Commercial,C051,City Delivery,,,,P,Post Office,Yes,Yes,Yes
Willow Village Mixed Use Master Plan,,Menlo Park,CA,,"May 19, 2025","May 19, 2025","""Annual review of the development agreement for Peninsula Innovation Partners LLC to determine good faith compliance for the 2024 annual review period. The review does not qualify as a project under CEQA. The project proposes to fill a Menlo Park drainage channel and pipe water into a storm drain, which requires verification from the U.S. Army Corps of Engineers and the San Francisco Regional Water Quality Control Board. Also involves a new PG&E distribution substation and working with the Ravenswood District to fund a Bayfront Recycled Water Plant. Caltrans approval for Willow Road improvements received. Overall development approvals in 2022, architectural approvals in 2023. Eric Morley and Eric Harrison represent Signature Development.""",37.439616,-122.186373,1,place,,,"Menlo Park, CA 94025",,,,,Menlo Park,CA,San Mateo County,94025,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,,,,,,,,,
Body Fit Training (Fitness Studio),940 C Willow Rd.,Menlo Park,CA,,"May 5, 2025","May 5, 2025","""Use permit for a proposed fitness studio, Body Fit Training, considered a private recreational facility requiring special use permit approval. The action is categorically exempt under CEQA Guidelines Section 15300.1’s Class 1 exemption for existing facilities. Co-owner: Parag. Land use consultant: Carrie.""",37.454567,-122.164093,1,range_interpolation,940 Willow Rd,,"Menlo Park, CA 94025",940,Willow Rd,,,Menlo Park,CA,San Mateo County,94025,US,TIGER/Line® dataset from the US Census Bureau,2556,,94025-2556,,S,Street,Commercial,C087,City Delivery,,,,P,Post Office,Yes,Yes,Yes
